type,,,,class,,class,class,class,class,class,class,class,class,class,class,aantal cursussen,aantal lln per cursus,aantal lln,constraint,,constraint,
,naam,,5HUWA,5HUWB,5WWI6,5EMT,5EWI,5MWE,5WWI8,5MT,5LMT,5GL,5LWE,5LWI6,5LWI8,,,,vaklokalen,aantal lkr,leerkracht,
,,aantal,20,12,21,7,11,4,9,7,6,3,3,1,1,,,105,,,,"Nathan, Linde, Milan en Rein"
,,BP,,,4,,1,,,,,,,,,,,5,,,,
,,,,,,,,,,,,,,,,,,,,,,
group,klasgroep1,,,,,,1,,1,,,,,1,1,,,22,,,,
group,klasgroep2,,1,,,,,,,,,,,,,,,20,,,,
group,klasgroep3,,,1,,1,,,,,,,,,,,,19,,,,
group,klasgroep4,,,,1,,,,,,,,,,,,,21,,,,
group,klasgroep5,,,,,,,1,,1,1,1,1,,,,,23,105,,,
,,,,,,,,,,,,,,,,,,,,,,
course,wisk3a,3,,,,,,,,1,1,,,,,1,13,13,,,Els,
course,wisk3b,3,1,1,,,,,,,,,,,,2,16,32,,,Els,
course,wisk4,4,,,,1,,1,,,,1,1,,,1,17,17,,,Anne,
course,wisk6,6,,,1,,1,,,,,,,1,,2,"16,5",33,,,Ellen + ...,
course,wisk8,8,,,,,,,1,,,,,,1,1,10,10,,,Annemie + Ellen,
course,stat,1,1,1,,,,,,,,,,,,2,16,32,,,Els,
,,,,,,,,,,,,,,,,1,0,0,,,,
course,fys1,1,,,,,1,,,,,,,1,1,1,13,13,fys,,,
course,fys2,2,,,1,,,1,1,,,,1,,,2,"18,5",37,fys,,,
course,chemie2a,2,,,,,1,,,,,,,1,1,1,13,13,chem,,Nancy,
course,chemie2b,2,,,1,,,1,1,,,,1,,,2,"18,5",37,chem,,Nancy,
course,bio1,1,,,,,1,,,,,,,1,1,1,13,13,bio,,Corry,
course,bio2,2,,,1,,,1,1,,,,1,,,2,"18,5",37,bio,,Corry,
course,aard1,1,1,1,,1,1,,,1,1,1,,1,1,3,"22,66666667",68,aard,,Annelies,
course,aard2,2,,,1,,,1,1,,,,1,,,2,"18,5",37,aard,,Annelies,
course,NW,2,1,1,,1,,,,1,1,1,,,,3,"18,33333333",55,,,,
course,WetMeth,2,,,1,,,,,,,,,,,1,21,21,,,Celine,
course,Inform,1,,,1,,1,,1,,,,,1,,2,21,42,,,Geert,
,,,,,,,,,,,,,,,,,,0,,,,
,Nedl,4,1,1,1,1,1,1,1,1,1,1,1,1,1,5,21,105,,,,
course,Frans3,3,1,1,1,,1,,1,,,1,1,1,1,4,"20,25",81,,,,
course,Frans4,4,,,,1,,1,,,1,,,,,1,17,17,,,,
course,Frans5,5,,,,,,,,1,,,,,,1,7,7,,,,
course,Engels2,2,,,1,,1,,1,,,1,1,1,1,2,"24,5",49,,,,
course,Engels3,3,1,1,,1,,1,,1,1,,,,,3,"18,66666667",56,,,,
course,Duits3,3,,,,1,,1,,1,1,,,,,1,24,24,,,,
course,Spaans3,3,,,,,,,,1,,,,,,1,7,7,,,,
course,TTTR1,1,,,,,,,,1,1,1,,,,1,16,16,,,,
course,TTTRXtra,1,,,,,,,,1,,,,,,1,7,7,,,,
,,,,,,,,,,,,,,,,,,0,,,,
course,econ5,5,,,,1,1,,,,,,,,,1,18,18,,,,
course,Latijn4,4,,,,,,,,,1,1,1,1,1,1,14,14,,,,
course,LatijnXtra,1,,,,,,,,,1,1,1,1,,1,13,13,,,,
course,Grieks4,4,,,,,,,,,,1,,,,1,3,3,,,,
course,SGW5,5,1,1,,,,,,,,,,,,2,16,32,,,,
course,filosofie2,2,1,1,,,,,,,,,,,,2,16,32,,,,
course,KB2,2,1,1,,,,,,,,,,,,2,16,32,,,,
,,,,,,,,,,,,,,,,,,0,,,,
,godsd,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,21,105,,,,
,gesch,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,21,105,lo,,,
,lo,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,21,105,lo,,Elke,
,,,,,,,,,,,,,,,,,,,,,,
,TOTAAL,,32,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,
