type,,,,class,class,class,class,class,class,class,class,class,class,class,,aantal cursussen,aantal lln per cursus,aantal lln,constraint,,constraint,,
,naam,,6HUW,6WWI6a,6WWI6b,6EMT,6EWI,6MWE,6WWI8,6MT,6LMT,6GL,6LWE,6LWI6,,,,,vaklokalen,aantal lkr,leerkracht,,
,,aantal,23,11,13,6,14,2,5,9,4,1,1,7,96,,,96,,,,,
,,waarvan met  BP,,2,2,,1,,,,1(AFS),,,,,,,5,,,,,"22,5"
group,klasgroep1,,1,,,,,,,,,,,,,,,23,,,Tom en Lode,,
group,klasgroep2,,,1,1,,,,,,,,,,,,,24,,,Annelies en Ellen,,
group,klasgroep3,,,,,1,,1,,1,1,1,1,,,,,23,,,Sofie en Dorien,,
group,klasgroep4,,,,,,1,,1,,,,,1,,,,26,,,Elke en Jens,,
,,,,,,,,,,,,,,,,,,0,,,,,
course,wisk3a,3,,,,,,,,1,1,,,,,1,13,13,,,,,
course,wisk3b,3,1,,,,,,,,,,,,,1,23,23,,,,,
course,wisk4,3,,,,1,,1,,,,1,1,,,1,10,10,,,,,
course,wisk6a,5,,1,1,,,,,,,,,,,1,24,24,,,,,
course,wisk6b,5,,,,,1,,,,,,,1,,,,,,,,,
course,wisk8,7,,,,,,,1,,,,,,,1,5,5,,,,,
course,stat1,1,1,,,,,,,,,,,,,1,23,23,,,,,
,,,,,,,,,,,,,,,,1,0,0,,,,,
course,fys2a,2,,,,,1,,,,,,,1,,1,21,21,fys,,,,
course,fys2b,2,,1,1,,,1,1,,,,1,,,2,16,32,fys,,,,
course,chemie1,1,,,,,1,,,,,,,1,,1,21,21,chem,,Nancy,,
course,chemie2,2,,1,1,,,1,1,,,,1,,,2,16,32,chem,,Nancy,,
course,bio1,1,,,,,1,,,,,,,1,,1,21,21,bio,,Corry,,
course,bio2,2,,1,1,,,1,1,,,,1,,,2,16,32,bio,,Corry,,
course,aard1,1,1,,,1,1,,,1,1,1,,1,,3,"21,33333333",64,aard,,Annelies,,
course,aard2,2,,1,1,,,1,1,,,,1,,,2,16,32,aard,,Annelies,,
course,NW2,2,1,,,1,,,,1,1,1,,,,2,"21,5",43,,,,,
course,WetMeth1,1,,1,1,,,,,,,,,,,1,24,24,,,,,
course,Inform1,1,,,,,,,,,,,,1,,1,7,7,,,,,
,,,,,,,,,,,,,,,,,,0,,,,,
,Nedl4,3,1,1,1,1,1,1,1,1,1,1,1,1,,4,24,96,,,,,
course,Frans3,3,1,1,1,,1,,1,,,1,1,1,,3,25,75,,,,,
course,Frans4,4,,,,1,,1,,1,1,,,,,1,21,21,,,,,
course,Engels2,2,1,1,1,,1,,1,,,1,1,1,,3,25,75,,,,,
course,Engels3,3,,,,1,,1,,1,1,,,,,1,21,21,,,,,
course,Duits2,2,,,,1,,1,,1,1,,,,,1,21,21,,,,,
course,DuitsXTR,1,,,,,,,,1,1,,,,,1,13,13,,,,,
course,Spaans3,3,,,,,,,,1,,,,,,1,9,9,,,,,
,,,,,,,,,,,,,,,,,,0,,,,,
course,esthetica1,1,,1,1,,,,,1,1,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
course,econ5,4,,,,1,1,,,,,,,,,1,20,20,,,,,
course,Latijn4,3,,,,,,,,,1,1,1,1,,1,13,13,,,,,
course,Grieks4,4,,,,,,,,,,1,,,,1,1,1,,,,,
,SGW5,4,1,,,,,,,,,,,,,1,23,23,,,,,
,filosofie2,2,1,,,,,,,,,,,,,1,23,23,,,,,
,KB2,2,1,,,,,,,,,,,,,1,23,23,,,,,
,,,,,,,,,,,,,,,,,,0,,,,,
,godsd,1,1,1,1,1,1,1,1,1,1,1,1,1,,4,24,96,,,,,
,gesch,2,1,1,1,1,1,1,1,1,1,1,1,1,,4,24,96,gesch,,,,
,lo,2,1,1,1,1,1,1,1,1,1,1,1,1,,4,24,96,lo,,Elke,,
,VISIE,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,96,,,,,
,,,,,,,,,,,,,,,,,,0,,,,,
,PZW3,3,1,1,1,1,1,1,1,1,1,1,1,1,,,,96,,,,,
course,PZWXtrLWI,1,,,,,,,,,,,,1,,,,7,,,,,
course,PZWXtrEWI,1,,,,,1,,,,,,,,,,,14,,,,,
course,PZWXtrGL,1,,,,,,,,,,1,,,,,,1,,,,,
course,PZWXtrEMT,1,,,,1,,,,,,,,,,,,6,,,,,
course,PZWXtrLWE,1,,,,,,,,,,,1,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,TOTAAL,,32,32,32,32,32,32,32,32,32,32,32,32,,,,,,,,,
